,datetime_utc,overpass_id,phase_iii,meter,qc_su_discard,qc_su_discard_strict,altitude_feet,gas_kgh_90_mean,gas_kgh_90_std,meter_sigma,methane_fraction_ms,methane_fraction_ms_sigma,ch4_kgh_90_mean_ms,ch4_kgh_sigma
0,2022-10-25 17:15:08,1.0,0,mc,0,1,41623.97797,216.82272000000003,0.39517220117851065,0.2765595918367347,0.9460180000000002,0.0024069307218945,205.11819592896003,0.6932262826277333
1,2022-10-25 17:32:52,2.0,0,mc,0,0,41630.46886,102.63000000000001,0.1603652348214094,0.13090561224489794,0.9460180000000002,0.0024069307218945,97.08982733999999,0.3152333470904596
2,2022-10-25 17:50:42,3.0,0,pc,1,1,42633.14464,1040.588,27.966889096801758,1.3272806122448981,0.9506440000000003,0.0013657668785948,989.228738672,26.65439554486065
3,2022-10-25 18:09:11,4.0,0,pc,0,0,42635.03948,1034.2948000000001,26.095741244179024,1.3192535714285716,0.9506440000000003,0.0013657668785948,983.2461458512001,24.879575381147266
4,2022-10-25 18:27:57,5.0,0,None,1,1,43640.086839999996,0.0,0.0,0.0,0.9506440000000003,0.0,0.0,0.0
5,2022-10-25 18:47:09,6.0,0,pc,0,0,43643.14464,492.7559999999999,2.269325455387986,0.6285153061224491,0.9506440000000003,0.0013657668785948,468.43553486400003,2.3375087251755935
6,2022-10-25 19:07:10,7.0,0,bc,0,0,43626.23549,25.700648,0.03908338729239311,0.03278143877551016,0.9506440000000003,0.0013657668785948,24.432166817311998,0.05986399311841969
7,2022-10-25 19:28:04,8.0,0,pc,0,0,43632.51964,667.3860000000001,5.211595791754121,0.8512576530612246,0.9506440000000003,0.0013657668785948,634.4464965840001,5.102107363023263
8,2022-10-25 20:10:31,9.0,0,mc,0,0,44646.26964,149.53856,0.16555184448831536,0.19073795918367342,0.9506440000000003,0.0013657668785948,142.15793483264002,0.3152125497147147
9,2022-10-25 20:29:58,10.0,0,mc,0,1,44667.51964,78.58003999999998,0.12199542522275471,0.10022964285714282,0.9506440000000003,0.0013657668785948,74.70164354576,0.18451782879420556
10,2022-10-25 20:46:41,11.0,0,mc,0,0,44667.51964,66.31193499999999,0.04613966976913183,0.08458154974489793,0.9506440000000003,0.0013657668785948,63.03904313614001,0.1288080109791134
11,2022-10-29 16:25:02,12.0,0,None,0,0,42617.543679999995,0.0,0.0,0.0,0.953323875,0.0,0.0,0.0
12,2022-10-29 16:50:52,13.0,0,mc,0,0,42642.51964,356.69048000000004,0.7812246317247536,0.45496234693877563,0.953323875,0.0046103061607482,340.04155056921,1.8566124176337986
13,2022-10-29 17:17:02,14.0,0,pc,0,0,42642.51964,704.3796,4.771043710279054,0.8984433673469387,0.953323875,0.0046103061607482,671.5018897429501,5.6539132395608656
14,2022-10-29 17:42:47,15.0,0,pc,0,0,43641.474559999995,425.32880000000006,1.7533199276057192,0.5425112244897959,0.953323875,0.0046103061607482,405.47609976509995,2.6280123030787528
15,2022-10-29 18:07:14,16.0,0,bc,0,0,43640.198209999995,35.264468,0.04469032339269732,0.04498018877551016,0.953323875,0.0046103061607482,33.61845928357351,0.17345356351977445
16,2022-10-29 18:31:01,17.0,0,mc,0,0,43625.62149,353.9164,0.8261260278750356,0.4514239795918368,0.953323875,0.0046103061607482,337.39695387405,1.8621996717560276
17,2022-10-29 18:54:09,18.0,0,pc,0,0,43635.8699,858.9524,11.71303860517381,1.0956025510204082,0.953323875,0.0046103061607482,818.85983040855,11.893673053060338
18,2022-10-29 19:16:43,19.0,0,pc,0,0,43617.51964,1112.4932000000001,32.02133914596833,1.418996428571429,0.953323875,0.0046103061607482,1060.56632833515,30.98412145294439
19,2022-10-29 19:38:38,20.0,0,pc,0,0,44617.51964,1354.7772,36.009193569907346,1.7280321428571432,0.953323875,0.0046103061607482,1291.54145006565,34.93087846514388
20,2022-10-29 19:59:57,21.0,0,pc,0,0,44608.46226,614.0148000000002,4.136357772542401,0.783182142857143,0.953323875,0.0046103061607482,585.3549684433499,4.911250664423744
21,2022-10-29 20:21:33,22.0,0,mc,1,1,44617.51964,210.80136,15.096770243332015,0.26887928571428577,0.953323875,0.0046103061607482,200.96196937047,14.427164925622904
22,2022-10-29 20:42:37,23.0,0,pc,1,1,44617.51964,517.6184000000001,2.2827752713146907,0.6602275510204082,0.953323875,0.0046103061607482,493.45797885930006,3.2904278743216633
23,2022-10-29 21:02:19,24.0,0,mc,0,0,44627.869099999996,177.099095,0.13789228413976254,0.22589170280612242,0.953323875,0.0046103061607482,168.83279550439312,0.8545740024672026
