,Operator,Stage,PerformerExperimentID,DateOfSurvey,TimestampUTC,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag
0,Kairos - LS23,2,1.0,10/24/22,16:46:16,1,0,,,nan,3.53,clear
1,Kairos - LS23,2,2.0,10/24/22,16:49:22,1,0,,,nan,3.18,clear
2,Kairos - LS23,2,3.0,10/24/22,16:52:33,0,,,,nan,3.34,KA-1
3,Kairos - LS23,2,4.0,10/24/22,16:55:42,1,16.97014334,,,nan,4.11,clear
4,Kairos - LS23,2,5.0,10/24/22,16:59:02,1,25.53496885,,,nan,3.49,clear
5,Kairos - LS23,2,6.0,10/24/22,17:02:04,1,133.5168991,,,nan,4.65,clear
6,Kairos - LS23,2,7.0,10/24/22,17:05:21,1,423.487591,,,nan,6.85,clear
7,Kairos - LS23,2,8.0,10/24/22,17:08:22,1,118.6325906,,,nan,3.73,clear
8,Kairos - LS23,2,9.0,10/24/22,17:11:38,1,0,,,nan,4.24,clear
9,Kairos - LS23,2,10.0,10/24/22,17:14:38,1,0,,,nan,2.78,clear
10,Kairos - LS23,2,11.0,10/24/22,17:17:54,1,0,,,nan,3.72,clear
11,Kairos - LS23,2,12.0,10/24/22,17:20:59,1,14.12896139,,,nan,4.67,clear
12,Kairos - LS23,2,13.0,10/24/22,17:24:13,1,14.59501569,,,nan,2.97,clear
13,Kairos - LS23,2,14.0,10/24/22,17:27:12,1,0,,,nan,4.45,clear
14,Kairos - LS23,2,15.0,10/24/22,17:30:28,0,,,,nan,3.86,KA-2
15,Kairos - LS23,2,16.0,10/24/22,17:33:39,1,0,,,nan,2.53,clear
16,Kairos - LS23,2,17.0,10/24/22,17:36:53,1,0,,,nan,5.77,clear
17,Kairos - LS23,2,18.0,10/24/22,17:40:00,1,31.35074363,,,nan,3.5,clear
18,Kairos - LS23,2,19.0,10/24/22,17:43:18,1,38.99989264,,,nan,2.39,clear
19,Kairos - LS23,2,20.0,10/24/22,17:46:21,1,32.97861272,,,nan,4.84,clear
20,Kairos - LS23,2,21.0,10/24/22,17:49:37,1,196.2253011,,,nan,4.34,clear
21,Kairos - LS23,2,22.0,10/24/22,17:52:40,1,153.1467956,,,nan,2.35,clear
22,Kairos - LS23,2,23.0,10/24/22,17:57:59,1,128.3873929,,,nan,2.93,clear
23,Kairos - LS23,2,24.0,10/24/22,18:01:12,1,75.05501099,,,nan,3.56,clear
24,Kairos - LS23,2,25.0,10/24/22,18:04:31,1,46.69750824,,,nan,2.02,clear
25,Kairos - LS23,2,26.0,10/24/22,18:07:34,1,98.39879905,,,nan,1.62,clear
26,Kairos - LS23,2,27.0,10/24/22,18:10:51,1,0,,,nan,3.97,clear
27,Kairos - LS23,2,28.0,10/24/22,18:13:54,0,,,,nan,5.49,KA-3
28,Kairos - LS23,2,29.0,10/24/22,18:17:18,0,,,,nan,4.12,KA-4
29,Kairos - LS23,2,30.0,10/24/22,18:20:26,0,,,,nan,2.55,KA-4
30,Kairos - LS23,2,31.0,10/24/22,18:23:39,0,,,,nan,5.59,KA-3
31,Kairos - LS23,2,32.0,10/24/22,18:26:41,1,417.3888434,,,nan,2.83,clear
32,Kairos - LS23,2,33.0,10/24/22,18:29:54,1,461.9373923,,,nan,3.81,clear
33,Kairos - LS23,2,34.0,10/24/22,18:33:04,0,,,,nan,1.81,KA-4
34,Kairos - LS23,2,35.0,10/24/22,18:39:07,1,154.2055848,,,nan,3.18,clear
35,Kairos - LS23,2,36.0,10/24/22,18:42:16,1,163.3665775,,,nan,3.49,clear
36,Kairos - LS23,2,37.0,10/24/22,18:45:34,1,186.3057282,,,nan,4.38,clear
37,Kairos - LS23,2,38.0,10/24/22,18:48:36,1,30.49826625,,,nan,4.77,clear
38,Kairos - LS23,2,39.0,10/24/22,18:51:57,1,37.35187928,,,nan,2.5,clear
39,Kairos - LS23,2,40.0,10/24/22,18:55:01,0,,,,nan,5.57,KA-4
40,Kairos - LS23,2,41.0,10/24/22,18:58:14,1,6.825822811,,,nan,4.33,clear
41,Kairos - LS23,2,42.0,10/24/22,19:01:19,1,0,,,nan,3.4,clear
42,Kairos - LS23,2,43.0,10/24/22,19:04:28,1,11.62196471,,,nan,2.36,clear
43,Kairos - LS23,2,44.0,10/24/22,19:07:37,1,0,,,nan,3.33,clear
44,Kairos - LS23,2,45.0,10/24/22,19:11:02,1,0,,,nan,3.11,clear
45,Kairos - LS23,2,46.0,10/24/22,19:14:06,1,16.36162302,,,nan,4.74,clear
46,Kairos - LS23,2,47.0,10/24/22,19:17:24,1,12.69315629,,,nan,2.19,clear
