,overpass_id,overpass_datetime,zero_release,non_zero_release,operator_kept,stanford_kept,phase_iii,pass_all_qc,altitude_feet,fail_all_qc,release_rate_kgh,ch4_kgh_sigma,upper_95CI,lower_95CI,sigma_flow_variability,sigma_meter_reading,sigma_gas_composition,operator_detected,operator_quantification,operator_lower,operator_upper,qc_summary
0,1.0,2022-10-10 17:00:39,False,True,True,True,1,True,10351.26648,False,10.92213624004875,0.071399846870293,11.062079939914526,10.782192540182976,0.0618936657639124,0.039719988816543,0.0016174275550494,True,87.19376164,42.486457390000005,131.90106589,pass_all
1,2.0,2022-10-10 17:14:15,False,True,True,True,1,True,10398.14464,False,6.612948731013749,0.0753212588051101,6.7605783982717655,6.465319063755733,0.0689671453394381,0.0395652347087406,0.0016174275550494,False,,,,pass_all
2,3.0,2022-10-10 17:28:37,False,True,False,True,1,False,10419.39464,False,8.638673389503753,0.0824638090212345,8.800302455185372,8.477044323822133,0.0770077481199681,0.0396475741413778,0.0016174275550494,True,,,,fail_operator
3,4.0,2022-10-10 17:43:05,False,True,True,True,1,True,10416.32015,False,4.4451804176775,0.0732354438450547,4.588721887613808,4.301638947741193,0.0670393723120972,0.0394431469574702,0.0016174275550494,False,,,,pass_all
18,19.0,2022-10-10 20:43:12,False,True,True,True,0,True,10339.63502,False,22.923732344625,2.247746112382093,27.329314724893905,18.5181499643561,2.399814688540679,0.0399484031937386,0.0016174275550494,True,34.46484832,11.661134970000004,57.26856167,pass_all
22,23.0,2022-10-10 21:30:23,False,True,False,True,0,False,10474.3252,False,26.001371084321253,3.084671334183166,32.04732689932026,19.95541526932225,3.293727890794763,0.0407015006383777,0.0016174275550494,True,,,,fail_operator
23,24.0,2022-10-11 17:16:20,False,True,True,True,1,True,10374.88075,False,26.54053920171,0.0896977280910938,26.716346748768544,26.364731654651457,0.0719703538965874,0.0399953005283407,0.0016174275550494,True,18.93505226,6.49342974,31.37667478,pass_all
33,34.0,2022-10-11 19:17:52,False,True,True,True,0,True,10346.44821,False,6.600892183796249,0.0847266838578257,6.766956484157587,6.434827883434911,0.0804608749810233,0.0395646678559993,0.0016174275550494,False,,,,pass_all
34,35.0,2022-10-11 19:30:41,False,True,True,True,0,True,10361.07733,False,20.97106609248,0.0819536745762534,21.131695294649457,20.810436890310545,0.0676017318803323,0.0399220832453101,0.0016174275550494,True,13.7314693,4.864804472000001,22.598134128,pass_all
37,38.0,2022-10-11 20:05:50,False,True,True,True,1,True,10314.40411,False,16.499559029759997,0.0780591652192936,16.652554993589813,16.34656306593018,0.0665985586651181,0.0398476726901799,0.0016174275550494,True,42.44641036,12.797796400000005,72.09502432,pass_all
40,41.0,2022-10-11 20:41:39,False,True,False,True,1,False,10398.56131,False,29.358276762082497,0.0930681551356639,29.5406903461484,29.175863178016595,0.0731011234396268,0.0400267079446078,0.0016174275550494,True,,,,fail_operator
46,47.0,2022-10-12 17:40:47,False,True,False,True,0,False,10328.76964,False,14.418686623139996,0.071600734585732,14.55902406292803,14.278349183351962,0.0596256656374739,0.039805904231986,0.0016174275550494,True,,,,fail_operator
54,55.0,2022-10-12 19:18:47,False,True,True,True,1,True,10177.31131,False,11.499009161658,0.0776708702305183,11.651244067309817,11.346774256006183,0.0678946265116212,0.0397349950749009,0.001958542102347,True,4.90088507,2.2528892000000003,7.54888094,pass_all
56,57.0,2022-10-12 19:41:45,False,True,True,True,1,True,10187.62381,False,22.365394373448,3.407231942886671,29.04356898150588,15.687219765390129,3.627665489844324,0.039938119644047,0.001958542102347,True,22.09402808,9.33975696,34.8482992,pass_all
57,58.0,2022-10-12 19:53:45,False,True,True,True,1,True,10248.45714,False,23.318618185473,0.0868669942853926,23.48887749427237,23.14835887667363,0.0654082803341534,0.0399541461861236,0.001958542102347,True,35.91431737,13.809277509999998,58.01935723,pass_all
