,release_rate,release_sigma,operator_report,operator_sigma
0,213.88417108875,0.8734563072034469,281.0,111.72
1,214.34858464350003,0.8743218288508272,210.0,82.32
3,110.57491491375,0.4869616416192456,139.0,52.92
4,109.13569667775002,0.4493549260752886,165.0,64.67999999999999
5,59.8014186465,0.2537925983380902,80.0,29.4
7,658.7898944775001,4.532626404559326,737.0,290.08
8,678.320915025,3.8002751119035305,704.0,276.36
9,21.020905724024995,0.6492092146725328,26.0,11.76
10,274.451176425,1.13135472617483,295.0,115.64
15,946.804740855,11.106623640178665,864.0,339.08
19,1135.705569765,14.30310957984149,1352.0,529.2
22,627.61503957,3.454390647594387,386.0,150.92
24,22.239591935925,0.096434889830202,25.0,9.8
25,460.2767184375001,2.087775034114127,370.0,145.04
26,467.44589871,2.03455108813078,587.0,231.28
38,1114.6434903525,15.388709725275683,785.0,307.71999999999997
39,1144.809472515,16.52524182351315,1014.0,397.88
44,314.58959656275,1.3933396491774075,350.0,137.2
45,319.0668272265,1.3101356397202268,359.0,141.12
50,9.195285320999998,0.0389082550750895,17.0,5.88
51,385.07561886,1.698698029433817,550.0,215.6
81,29.04816866115,0.0922515337828978,23.0,7.84
83,25.2585365742225,0.0798758634285555,51.0,21.56
84,32.113429739820006,0.1017852214756808,31.0,11.76
85,32.03548275049501,0.1007040991029652,48.0,19.6
86,809.3218225267501,9.292916878821314,452.0,176.4
87,800.2778049870001,6.903344055892799,543.0,211.68
91,9.2625599142825,0.0321744017837447,12.0,3.92
92,9.2475977416425,0.0300836132976947,9.0,3.92
99,12.0565403810925,0.0390779614213116,9.0,3.92
100,22.2966080003475,0.0715570699274728,35.0,13.719999999999999
101,22.203419438055,0.0706996864885051,25.0,9.8
105,18.205685425567506,0.0581957177062385,22.0,7.84
106,18.139678523707506,0.0575810831470401,19.0,7.84
110,35.25621585630001,0.1108234872647906,38.0,15.68
111,35.139951107775,0.1107682492768858,45.0,17.64
118,39.795216727725,0.1260382709390426,52.0,21.56
119,39.81648536490001,0.1324846904924184,60.0,23.52
120,39.8303983608,0.1305365430133834,43.0,15.68
128,62.109438352800005,0.1944539106547158,67.0,27.439999999999998
132,50.60920683195,0.160239176797373,33.0,13.719999999999999
133,50.69217162307499,0.1622210521942985,72.0,29.4
134,50.93467970325,0.1636451436812441,62.0,23.52
135,50.766070158675,0.160689412089305,74.0,29.4
136,50.716348304475,0.1633067402310716,61.0,23.52
137,50.59934228977501,0.1598386472846058,26.0,9.8
139,91.001199851025,0.2873253503288697,111.0,43.12
140,91.14460634565002,0.2866243517721944,80.0,33.32
143,78.69583922317501,0.246383798436594,87.0,35.28
144,78.738490538475,0.2467417153913207,74.0,29.4
145,119.37766731667502,0.3736769413887711,125.0,49.0
166,16.0237969496925,0.0508303328005083,14.0,5.88
167,15.939993957585,0.0514070569453366,16.0,5.88
168,15.8643220852125,0.0514991119767797,12.0,3.92
169,31.1087688846525,0.0989343662650134,44.0,15.68
170,31.14980652051,0.0988436871914104,22.0,7.84
176,14.265998256630002,0.0465062487862941,15.0,5.88
177,14.2112072822025,0.0455208324394249,16.0,7.84
178,14.17040913234,0.0451741761545773,24.0,9.8
181,20.20734928611,0.0634421750383538,39.0,13.719999999999999
182,20.2304938969125,0.0646475324379348,23.0,9.8
187,28.785863072055,0.0905983661164473,17.0,7.84
188,28.880978926402506,0.092276943733057,27.0,9.8
