,release_rate,x_error,operator_report,operator_sigma
0,213.88417108875,1.711974362118756,281.0,57.0
1,214.34858464350003,1.7136707845476213,210.0,42.0
3,110.57491491375,0.9544448175737213,139.0,27.0
4,109.13569667775002,0.8807356551075657,165.0,33.0
5,59.8014186465,0.4974334927426568,80.0,15.0
7,658.7898944775001,8.88394775293628,737.0,148.0
8,678.320915025,7.44853921933092,704.0,141.0
9,21.020905724024995,1.2724500607581641,26.0,6.0
10,274.451176425,2.217455263302667,295.0,59.0
15,946.804740855,21.76898233475018,864.0,173.0
19,1135.705569765,28.03409477648932,1352.0,270.0
22,627.61503957,6.770605669284999,386.0,77.0
24,22.239591935925,0.18901238406719592,25.0,5.0
25,460.2767184375001,4.092039066863689,370.0,74.0
26,467.44589871,3.9877201327363285,587.0,118.0
38,1114.6434903525,30.16187106154034,785.0,157.0
39,1144.809472515,32.38947397408577,1014.0,203.0
44,314.58959656275,2.7309457123877188,350.0,70.0
45,319.0668272265,2.5678658538516443,359.0,72.0
50,9.195285320999998,0.07626017994717542,17.0,3.0
51,385.07561886,3.329448137690281,550.0,110.0
81,29.04816866115,0.18081300621447968,23.0,4.0
83,25.2585365742225,0.15655669231996877,51.0,11.0
84,32.113429739820006,0.19949903409233435,31.0,6.0
85,32.03548275049501,0.19738003424181177,48.0,10.0
86,809.3218225267501,18.214117082489775,452.0,90.0
87,800.2778049870001,13.530554349549886,543.0,108.0
91,9.2625599142825,0.06306182749613962,12.0,2.0
92,9.2475977416425,0.05896388206348161,9.0,2.0
99,12.0565403810925,0.07659280438577074,9.0,2.0
100,22.2966080003475,0.14025185705784668,35.0,7.0
101,22.203419438055,0.13857138551746997,25.0,5.0
105,18.205685425567506,0.11406360670422745,22.0,4.0
106,18.139678523707506,0.11285892296819859,19.0,4.0
110,35.25621585630001,0.2172140350389896,38.0,8.0
111,35.139951107775,0.21710576858269617,45.0,9.0
118,39.795216727725,0.2470350110405235,52.0,11.0
119,39.81648536490001,0.2596699933651401,60.0,12.0
120,39.8303983608,0.2558516243062315,43.0,8.0
128,62.109438352800005,0.38112966488324296,67.0,14.0
132,50.60920683195,0.3140687865228511,33.0,7.0
133,50.69217162307499,0.31795326230082505,72.0,15.0
134,50.93467970325,0.32074448161523844,62.0,12.0
135,50.766070158675,0.3149512476950378,74.0,15.0
136,50.716348304475,0.32008121085290037,61.0,12.0
137,50.59934228977501,0.3132837486778274,26.0,5.0
139,91.001199851025,0.5631576866445845,111.0,22.0
140,91.14460634565002,0.5617837294735011,80.0,17.0
143,78.69583922317501,0.4829122449357242,87.0,18.0
144,78.738490538475,0.48361376216698854,74.0,15.0
145,119.37766731667502,0.7324068051219914,125.0,25.0
166,16.0237969496925,0.09962745228899626,14.0,3.0
167,15.939993957585,0.10075783161285974,16.0,3.0
168,15.8643220852125,0.10093825947448822,12.0,2.0
169,31.1087688846525,0.19391135787942626,44.0,8.0
170,31.14980652051,0.19373362689516438,22.0,4.0
176,14.265998256630002,0.09115224762113644,15.0,3.0
177,14.2112072822025,0.08922083158127281,16.0,4.0
178,14.17040913234,0.0885413852629715,24.0,5.0
181,20.20734928611,0.12434666307517343,39.0,7.0
182,20.2304938969125,0.12670916357835219,23.0,5.0
187,28.785863072055,0.17757279758823669,17.0,4.0
188,28.880978926402506,0.18086280971679172,27.0,5.0
