,release_rate,x_error,operator_report,operator_sigma
5,113.41300844316,0.6825836416399444,121.91044985,2.5228205499999916
6,113.2451659296,0.6541561789432271,397.6462936,2.9700670999999943
7,112.91981141904,0.6698380853067447,89.854613975,20.706980224999995
32,439.9761326796,4.665168895758498,449.0841708,18.57401950000002
34,164.1414073386,1.0305837890884988,149.06662805000002,5.35219674999999
35,163.32052859964,1.0718154365075712,157.25357735,5.001408150000003
36,162.58025059428005,0.9996520729515059,171.72988885,1.9007991499999832
37,43.004861978760005,0.272208205005954,31.80709434,3.3837334400000003
38,42.5773375242,0.2859866847166484,35.60374778,0.7930494800000005
54,5.35713911094,0.051882131615277716,5.858756357,1.5853105430000003
146,59.73354462408,0.2627669489970843,53.15947683,0.7021674499999975
147,59.63441146776001,0.25517155184737134,146.63326705,1.3591491500000075
148,59.32543315488,0.25999716651553734,61.88831931,0.44205941999999965
150,88.36545889944,0.37665012323041225,60.668411055,0.12963335500000284
151,88.211682726,0.39418887652295004,88.321449515,1.981847154999997
152,73.802296296,0.31121927839177704,100.8310516,0.2926409000000092
153,73.98116947103999,0.32425344040222204,63.04590804,3.6645266900000024
154,73.92327525144,0.31463346704251266,70.43117538,0.2160465500000015
159,1041.956208132,54.801716096311864,1124.357766,13.758941999999934
161,1022.9258362824,46.328590987387415,1014.593764,8.91537500000004
162,1019.7385170792,52.42870082605287,2037.8821845,2.4780794999999216
163,1021.9476236064,65.39266378745089,1460.7978119999998,29.795876000000135
211,6.991682413920001,0.05500744832947126,5.134515094499999,0.1625451705000005
217,31.917077561616,0.1555200353685722,24.178972215,0.06318546499999655
218,32.087919696144,0.1413577794836272,45.52891688,0.5780715700000059
220,7.939464975479999,0.05500032061850105,6.1615473565,0.9028488415
221,7.888489542912,0.057136564020704446,4.867669637500001,0.7507351184999997
222,7.871400766368001,0.05557345434359429,7.264213158,1.9571973280000003
224,4.426820185175999,0.05004803868491334,3.163255792,3.163255792
227,23.548562232192,0.10359750020835079,23.10626267,0.3768901100000015
228,23.571195164544,0.10417642794548455,13.41149692,3.112863710000001
229,23.595117170159995,0.10512407285778107,20.82624752,1.86823811
245,11.637730611936,0.0618000814109654,3.8523763935,3.8523763935
246,11.559382336032,0.06762840264425007,5.830015065,1.4403566629999993
247,11.645248304688002,0.06847757951577782,7.056040379500001,0.16220782449999938
249,14.283467928336,0.07630992774117107,6.8839162055,1.3767832405
250,14.257595201232,0.06737656437464955,18.023258795,3.2309532849999982
271,25.379137528896003,0.122526015360927,28.003563835,2.7756231049999975
275,6.122644606062,0.15682149182516691,6.7383952855,2.4768155645
281,18.92499038594775,0.08634046339402926,22.21336288,0.5406903700000001
299,583.676389847025,9.823824899308622,630.65438725,11.446249050000006
300,595.6512330246751,8.970102009710184,616.5751664,13.716506300000106
316,17.600887011690002,0.10335002845171418,11.81758306,0.5357304299999992
320,13.285992145803752,0.06971651445480016,6.669609961499999,2.3112509765
331,486.9625114242,6.065204477395558,541.12682875,8.831385049999994
336,49.24048444463249,0.22853853884387587,24.98873722,0.64933014
343,9.411912000301502,0.1757050617839428,9.066274951,2.5559179390000004
345,382.07857644045,3.5438500032910425,391.93909895,0.3400686499999779
346,381.4753298886,3.2782134420012716,394.5742030500001,6.120543749999911
