,datetime_utc,meter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc
0,2022-10-29 15:31:04,None,0,0,0,0.87,0,0,0,1
1,2022-10-29 15:31:05,None,0,0,0,0.87,0,0,0,1
2,2022-10-29 15:31:06,None,0,0,0,0.87,0,0,0,1
3,2022-10-29 15:31:07,None,0,0,0,0.87,0,0,0,1
4,2022-10-29 15:31:08,None,0,0,0,0.87,0,0,0,1
5,2022-10-29 15:31:09,None,0,0,0,0.87,0,0,0,1
6,2022-10-29 15:31:10,None,0,0,0,0.87,0,0,0,1
7,2022-10-29 15:31:11,None,0,0,0,0.87,0,0,0,1
8,2022-10-29 15:31:12,None,0,0,0,0.87,0,0,0,1
9,2022-10-29 15:31:13,None,0,0,0,0.87,0,0,0,1
10,2022-10-29 15:31:14,None,0,0,0,0.87,0,0,0,1
11,2022-10-29 15:31:15,None,0,0,0,0.87,0,0,0,1
12,2022-10-29 15:31:16,None,0,0,0,0.87,0,0,0,1
13,2022-10-29 15:31:17,None,0,0,0,0.87,0,0,0,1
14,2022-10-29 15:31:18,None,0,0,0,0.87,0,0,0,1
15,2022-10-29 15:31:19,None,0,0,0,0.87,0,0,0,1
16,2022-10-29 15:31:20,None,0,0,0,0.87,0,0,0,1
17,2022-10-29 15:31:21,None,0,0,0,0.87,0,0,0,1
18,2022-10-29 15:31:22,None,0,0,0,0.87,0,0,0,1
19,2022-10-29 15:31:23,None,0,0,0,0.87,0,0,0,1
20,2022-10-29 15:31:24,None,0,0,0,0.87,0,0,0,1
21,2022-10-29 15:31:25,None,0,0,0,0.87,0,0,0,1
22,2022-10-29 15:31:26,None,0,0,0,0.87,0,0,0,1
23,2022-10-29 15:31:27,None,0,0,0,0.87,0,0,0,1
24,2022-10-29 15:31:28,None,0,0,0,0.87,0,0,0,1
25,2022-10-29 15:31:29,None,0,0,0,0.87,0,0,0,1
26,2022-10-29 15:31:30,None,0,0,0,0.87,0,0,0,1
27,2022-10-29 15:31:31,None,0,0,0,0.87,0,0,0,1
28,2022-10-29 15:31:32,None,0,0,0,0.87,0,0,0,1
29,2022-10-29 15:31:33,None,0,0,0,0.87,0,0,0,1
30,2022-10-29 15:31:34,None,0,0,0,0.87,0,0,0,1
31,2022-10-29 15:31:35,None,0,0,0,0.87,0,0,0,1
32,2022-10-29 15:31:36,None,0,0,0,0.87,0,0,0,1
33,2022-10-29 15:31:37,None,0,0,0,0.87,0,0,0,1
34,2022-10-29 15:31:38,None,0,0,0,0.87,0,0,0,1
35,2022-10-29 15:31:39,None,0,0,0,0.87,0,0,0,1
36,2022-10-29 15:31:40,None,0,0,0,0.87,0,0,0,1
37,2022-10-29 15:31:41,None,0,0,0,0.87,0,0,0,1
38,2022-10-29 15:31:42,None,0,0,0,0.87,0,0,0,1
39,2022-10-29 15:31:43,None,0,0,0,0.87,0,0,0,1
40,2022-10-29 15:31:44,None,0,0,0,0.87,0,0,0,1
41,2022-10-29 15:31:45,None,0,0,0,0.87,0,0,0,1
42,2022-10-29 15:31:46,None,0,0,0,0.87,0,0,0,1
43,2022-10-29 15:31:47,None,0,0,0,0.87,0,0,0,1
44,2022-10-29 15:31:48,None,0,0,0,0.87,0,0,0,1
45,2022-10-29 15:31:49,None,0,0,0,0.87,0,0,0,1
46,2022-10-29 15:31:50,None,0,0,0,0.87,0,0,0,1
47,2022-10-29 15:31:51,None,0,0,0,0.87,0,0,0,1
48,2022-10-29 15:31:52,None,0,0,0,0.87,0,0,0,1
