,overpass_id,non_zero_release,operator_detected,release_rate_kgh,operator_quantification
3,4.0,True,True,17.80782079,17.57448
4,5.0,True,True,17.82770164,30.7568
8,9.0,True,False,1.634379226,0.0
9,10.0,True,False,1.578518439,0.0
10,11.0,True,False,1.538374839,0.0
11,12.0,True,True,12.28234072,11.50552
12,13.0,True,True,12.30635921,18.436
13,14.0,True,False,3.31660741,0.0
15,16.0,True,False,3.232429554,0.0
16,17.0,True,False,3.219373416,0.0
40,41.0,True,True,8.729311641,4.79424
41,42.0,True,False,8.665770058,0.0
42,43.0,True,True,8.630508816,15.092
43,44.0,True,False,4.083904983,0.0
44,45.0,True,False,4.055158152,0.0
46,47.0,True,True,17.91043917,18.24768
47,48.0,True,True,17.85519564,45.156
48,49.0,True,True,17.79617628,10.0672
49,50.0,True,True,17.74774901,4.55672
53,54.0,True,False,5.329469276,0.0
54,55.0,True,True,5.265296559,13.01184
56,57.0,True,False,1.553485769,0.0
57,58.0,True,True,13.90789573,30.8416
58,59.0,True,True,13.89295703,34.58224
59,60.0,True,True,13.91354301,57.72888
103,104.0,True,True,24.20190649,14.18768
104,105.0,True,True,23.95878228,11.7576
105,106.0,True,True,23.83372423,19.17864
119,120.0,True,True,8.342722194,2.94488
120,121.0,True,True,8.303174721,2.75776
135,136.0,True,False,1.102686835,0.0
136,137.0,True,False,1.075411372,0.0
170,171.0,True,False,0.9204520685,0.0
171,172.0,True,False,0.8861490535,0.0
172,173.0,True,False,0.857731236,0.0
173,174.0,True,False,0.8257894895,0.0
174,175.0,True,False,0.8090913017,0.0
176,177.0,True,True,4.142929834,11.1456
177,178.0,True,True,4.120708391,7.2072
178,179.0,True,True,4.120016886,6.624
182,183.0,True,False,0.6684269331,0.0
183,184.0,True,False,0.6623477302,0.0
184,185.0,True,False,0.6517155738,0.0
185,186.0,True,False,0.6467120446,0.0
188,189.0,True,False,1.627855435,0.0
197,198.0,True,True,11.92478698,12.89376
198,199.0,True,True,11.8671177,11.71968
199,200.0,True,True,11.84068686,10.34456
211,212.0,True,True,6.83797542,16.37624
215,216.0,True,False,2.202633447,0.0
216,217.0,True,False,2.183325104,0.0
220,221.0,True,True,7.765508001,13.87952
221,222.0,True,True,7.719182686,7.22912
222,223.0,True,True,7.699749214,15.2684
223,224.0,True,False,4.354354598,0.0
224,225.0,True,True,4.331134315,10.608
225,226.0,True,False,4.32841769,0.0
226,227.0,True,False,4.328971992,0.0
227,228.0,True,True,23.03612316,24.52352
228,229.0,True,True,23.05736222,17.81248
229,230.0,True,True,23.07834335,25.8136
230,231.0,True,False,1.361171775,0.0
231,232.0,True,False,5.78225656,0.0
232,233.0,True,False,5.780544263,0.0
233,234.0,True,False,5.769765574,0.0
243,244.0,True,False,2.691662154,0.0
244,245.0,True,False,2.561857424,0.0
245,246.0,True,True,11.38222484,7.22688
246,247.0,True,True,11.30727344,8.07296
247,248.0,True,True,11.39219129,6.5416
249,250.0,True,True,13.97189831,4.8608
250,251.0,True,True,13.94689988,29.37312
251,252.0,True,True,21.76998935,12.80272
252,253.0,True,True,15.64397272,9.03096
254,255.0,True,False,2.164466787,0.0
255,256.0,True,False,2.143049904,0.0
256,257.0,True,True,10.27855069,6.99696
257,258.0,True,True,10.26493464,8.0784
258,259.0,True,True,10.24432122,8.184
260,261.0,True,False,10.2389209,0.0
261,262.0,True,False,0.9093871728,0.0
262,263.0,True,False,0.9002219938,0.0
263,264.0,True,False,0.9024677371,0.0
264,265.0,True,False,0.8980047888,0.0
270,271.0,True,False,0.626850498,0.0
271,272.0,True,True,24.82432642,39.32712
272,273.0,True,True,18.41192264,29.7252
275,276.0,True,True,5.999076157,17.6088
277,278.0,True,False,2.895317371,0.0
278,279.0,True,False,2.868080324,0.0
279,280.0,True,False,2.866701157,0.0
281,282.0,True,True,18.5187985,35.05528
284,285.0,True,False,1.36073492,0.0
285,286.0,True,False,1.348953549,0.0
286,287.0,True,False,1.33883563,0.0
287,288.0,True,False,1.327423062,0.0
291,292.0,True,True,9.459117833,10.6272
292,293.0,True,True,9.460171554,26.87592
293,294.0,True,True,17.28929797,12.7616
294,295.0,True,True,17.28300857,22.76544
301,302.0,True,False,8.927981988,0.0
309,310.0,True,True,9.599784122,15.834
316,317.0,True,True,17.22267755,13.21736
320,321.0,True,True,13.00425847,4.68336
324,325.0,True,True,7.430550893,8.5344
325,326.0,True,True,7.405025595,6.88896
343,344.0,True,True,9.226470465,7.6356
